,Unnamed: 0,Assessment,Question,Proof,Identify.Base.Case,Prove.Base.Case,Hypothesis.is.stated,Hypothesis.is.given.some.bound,Goal.is.Clear,Expression.of.Size.k.1.is.decomposed.into.expression.of.size.k,Inductive.Hypothesis.is.applied,Graded.By,Semester
10,11,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,No idea.,0,0,0,0,0,0,0,Seth,sp22
11,12,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Let us find g(n), where n=4 and n is greater than or equal to 2.

Since we are given g(0) and g(1), let us simplify g(4) to only contain constants and those values.
$g(4) = \frac{4}{3}g(3)-\frac{1}{3}g(2)$

$g(4) = \frac{4}{3}[\frac{4}{3}g(2)-\frac{1}{3}g(1)] - \frac{1}{3}[\frac{4}{3}g(1)-\frac{1}{3}g(0)] $

$g(4)=\frac{4}{3}[\frac{4}{3}[\frac{4}{3}g(1)-\frac{1}{3}g(0)]-\frac{1}{3}g(1)]-\frac{1}{3}[\frac{4}{3}g(1)-\frac{1}{3}g(0)]$

Let us substitue in g(0) and g(1), so
$g(4)=\frac{4}{3}[\frac{4}{3}[\frac{4}{3}(\frac{4}{3})]-\frac{1}{3}(\frac{4}{3})]-\frac{1}{3}[\frac{4}{3}(\frac{4}{3})]$

$g(4)=(\frac{4}{3}^{4})-(\frac{4}{3}^{3})(\frac{1}{3})-(\frac{4}{3}^{2})(\frac{1}{3})$

$g(n)=2-\frac{2}{3^{n}}$",0,0,0,0,0,0,0,Seth,sp22
12,13,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"We will use induction on n.

Plugging in 0 to g(n), we get that g(0) = 2 - 2 = 0, whcih is the same as the g(0) value provided.

Plugging in 1 to g(n) we get that g(1) = 2 - 2/3 = 4/3, which is the same as the g(1) value provided. 

",2,2,0,0,0,0,0,Seth,sp22
13,14,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Take a natural number n.

Plugging n = 0 into the explicit equation g(n) yields $2 - \frac{2}{1} = 0$

Plugging n = 1 into the explicit equation g(n) yields $2 - \frac{2}{3} = \frac{4}{3}$

Plugging n = 2 into the explicit equation g(n) yields $2 - \frac{2}{9} = \frac{16}{9}$

Then plugging n = 2 into the recursive equation g(n): $\frac{4}{3} \times g(2 - 1) - \frac{1}{3} \times g(2 -2) = \frac{4}{3} \times \frac{4}{3} - \frac{1}{3} \times 0 = \frac{16}{9}$

plugging n = 3 into the explicit equation: $2 - \frac{2}{27} = \frac{52}{27}$

Then plugging n = 3 into the recursive equation g(n): $\frac{4}{3} \times g(3 - 1) - \frac{1}{3} \times g(3 -2) = \frac{4}{3} \times \frac{16}{9} - \frac{1}{3} \times \frac{4}{3} = \frac{64}{27} - \frac{4}{9} = \frac{64 - 12}{27} = \frac{52}{27}$

g(n) behaves the same with subsequent values of n, and is equivalent at n = 0 and n = 1. Thus, the expression is true.",2,2,0,0,0,0,0,Seth,sp22
14,15,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"4/3 g(n) - g(1) - 1/3g(n) - g(1) - g(1)

g(n) = 4/3 - 8/3 --> -4/3

g(n) = 2 - 2/3^n

this same principle applies here as 0 and 1 also pass this test
",0,0,0,0,0,0,0,Seth,sp22
15,16,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"let there be natural number g.
Suppose g:N implies R.
By definition g(0)=0,g(1)=4/3.

g(n)=2-2/3^n. Which is what we need to know.",0,0,0,0,0,0,0,Seth,sp22
16,17,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Proof: We will prove that g(n) = 2 - 2/(3^n) for any natural number n using induction.

Base Case: This statement holds true for the base cases g(0) and g(1).

Induction: If we solve the proof for n + 1, we get that g(n+1) = 4/3g(n) - 1/3g(n-1). This is equivalent to g(n) = 2 - 2/3^n, so the statement is true.",2,0,0,0,0,2,0,Seth,sp22
17,18,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Since g(n) = $\frac{4}{3}$g(n - 1) - $\frac{1}{3}$g(n - 2)

= $\frac{4}{3}$gn - $\frac{4}{3}$g - $\frac{1}{3}$gn + $\frac{2}{3}$

",0,0,0,0,0,0,0,Seth,sp22
18,19,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Let n = 2. Plugging the n into the statement, we get g(2) = 4/3g(1) - 1/3g(0). We know the values for g(1) which is 4/3 and g(0) which is 0. Plugging these into the equation, we get g(2) = (4/3)^2 - 1/3 * 0 = 16/9= 1 7/9. Rearranging this, we can get that g(2) = 16/9 = 18/9 - 2/9 = 2 - 2/9 = 2 - 2/(3)^2, which fits to the statement that g(n) = 2 - 2/3^n. Since this is true for n = 2, then it is true for any natural number greater than or equal to 2.",0,0,0,0,0,0,0,Seth,sp22
19,20,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"g(2) = 16/9

n = k +1

g(n) = 4/3g(k) - 1/3g(k-1)
",0,0,0,0,0,0,0,Seth,sp22
20,21,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Proof by induction,
induction predicate: we need to prove that g(n) = 2 - 2/3^n for any natural number n and the result is rational number
Base: since by the definition of g(n), n has to be more than or equal to 2, and so g(0) = 2 - 2/3^0 = 0 and g(1) = 2-2/3^1= 4/3
Induction: so if considering n = 2, g(2) = 4/3g(2-1) - 1/3g(2-2) = 4/3g(1) - g(0) = 4/3(4/3) - 0 = 16/9 which is g(2) = 2-2/3^2 = 16/9 which is what needed to prove",0,0,0,0,0,0,0,Seth,sp22
21,22,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Let n be a special case where n=2. We get g(2)=(4/3)g(1)-(1/3)g(0)=16/9=2-2/(3^2). 
Let n be a general case where n=3. We get g(3)=(4/3)g(2)-(1/3)g(1)=52/27=2-2/(3^3).  
This implies that g(n)=2-2/3^n for any natural number n. 
",0,0,0,0,0,0,0,Seth,sp22
22,23,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"I am not sure what induction is...

I do not know how to prove this.

I started by seperating g(n) to be g(n) = (4/3)g(n) - (4/3)g(1) - (1/3)g(n) + (1/3)g(2)

From here I input what we know g(1) to be and got the equation g(n) = (4/3)g(n) - 16/9 - (1/3)g(n) + (1/3)g(2)

After this I tried to sove for g(2) and got that g(2) = 16/9, thus the g(1) and g(2) values cancel, but after that im just left with g(n) = g(n)...",0,0,0,0,0,0,0,Seth,sp22
23,24,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Proof by induction on n

Base cases:

g(0) = 0 and g(0) = 2 - $\frac{(2)}{1} = 0$

g(1) = $\frac{4}{3}$ and g(1) = 2 - $\frac{2}{3^1} = \frac{4}{3}$

g(2) = $2 - \frac{2}{3^2} = \frac{2}{3^1} = \frac{4}{3}$

given, g(n) = $\frac{4}{3}g(n-1) - \frac{1}{3}g(n-2)$

g(n) = $\frac{4}{3}g(1) - \frac{1}{3}g(0)$ = $\frac{4}{3}(2 - \frac{2}{3}) = $$\frac{2}{3^1} = \frac{16}{9}$

Which is what we wanted to prove.
",2,2,0,0,0,0,0,Seth,sp22
24,25,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Proof: by induction on n.

Induction Predicate: $g(n) = 2 - \frac{2}{3^n}$ for any natural number $n$.

Base: $g(2) = \frac{4}{3}g(1) - \frac{1}{3}g(0) = \frac{16}{9}$. Also, $2 - \frac{2}{3^2} = \frac{16}{9}$. Since the two sides of the equation are equal, the statement holds.

Induction Hypothesis: for any natural number $n \geq 2$, $g(n) = \frac{4}{3}g(n-1) - \frac{1}{3}g(n-2) = 2 - \frac{2}{3^n}$.

Induction Step: Let $n = k + 1$. Therefore, $g(k+1) = \frac{4}{3}g(k) - \frac{1}{3}g(k-1)$.

By the induction hypothesis, $g(k+1) = \frac{4}{3}(2-\frac{2}{3^{k}}) - \frac{1}{3}(2 - \frac{2}{3^{k-1}}) = \frac{8}{3} - \frac{8}{3^{k+1}}-\frac{2}{3}+\frac{2}{3^{k}} = 2 - \frac{2}{3^{k+1}}$, which is what we needed to show.",1,2,1,0,2,2,2,Seth,sp22
25,26,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Prove by induction
Base case: P(N)= 2-2/3^n when n is 0 = 0 so g(0) = 0 holds. 2-2/3^n when n is 1 = 4/3 so g(1) = 4/3 holds. 

Hypothesis: P(k+1): g(k) = 2-2/3^k for all k from k = 0,...,k+1

Show that P(k+1): g(k+1) = 2-2/3^(k+1) 

By substitution, P(k+1) = P(1) + P(k) = g(1)+ g(k) = 4/3 + 2-2/3^k

Symplifying this leads to P(k+1) = 10/3-2/3^k, which is what we needed to prove.",2,1,2,2,1,1,2,Seth,sp22
26,27,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Let k be any natural number

Base Step: 

Let n = 0. So by the equation g(0) = 2 - 2/3^0 = 2-2 = 0 which is correct

Let n = 1. So by the equation g(1) = 2 - 2/3^1 = 4/3 which is correct

Now let's prove by induction: 

Let n = k, which is any natural number. Suppose g(k) = 2-(2/3^k)

Let n = k + 1. Since k is a natural number, k + 1 is also a natural number

According to the first equation, g(k+1) = (4/3)g(k) - (1/3)g(k-1). 

According to the second equation, g(k+1) = 2 - 2/3^(k+1) = 2(1 - 1/3^(k+1)). 

Plugging in the second equation into the first, g(k+1) = (4/3)*(2-(2/3^k)) - (1/3)(2-(2/3^(k-1))) = (1/3)[8 - 8/3^(k) - 2 - 2/3^(k-1)] = 2 - [8(3^k)-6(3^k)]/3^(2k-1) = 2 - 2[3^(k-2k-1)] = 2 - 2/3^(k+1) which is the same as the second equation for g(k+1).

Therefore, the statement is correct. ",2,2,2,1,2,2,2,Seth,sp22
27,28,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Let $g(n)$ be defined as above.

Let $n,k,j$ be integers such that $k=n+1$ and $j=k+1$

$g(n)=\frac{4}{3}g(n-1)-\frac{1}{3}g(n-2)$

$g(k)=g(n+1)=\frac{4}{3}g(n)-\frac{1}{3}g(n-1)$

$g(j)=g(n+2)=\frac{4}{3}g(n+1)-\frac{1}{3}g(n)$",0,0,0,0,0,0,0,Seth,sp22
28,29,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Proof by induction
if g(n) is = 4/3 g (n-1) - 1/3 g (n-2) for any natural number n greater than or equal to 2, we can set variables for g(n) = 2 - 2/3^n and test whether g(n) is equal to that of the restricted g(n).

if n = 2 then the restricted g(n) results to 4/3. The unrestricted g(n) results in 5/n which is not equal to the restricted n, thus g(n) = 2 - 2/3^n is not true for any natural number n.",0,0,0,0,0,0,0,Seth,sp22
29,30,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Given the definition above for g(n), the function from the set of natural numbers to the set of real numbers, it provides the arbitrary case for g(n) as $g(n) = \frac{4}{3}g(n-1) - \frac{1}{3}g(n-2)$. It follows then that $g(n+1) = \frac{4}{3}g(n) - \frac{1}{3}g(n-1)$ and $g(n+2) = \frac{4}{3}g(n+1) - \frac{1}{3}g(n)$. assume that the explicit form of $g(n) = 2 -\frac{2}{3^n}$. This implies that $g(n) = \frac{4}{3}(2 -\frac{2}{3^{n-1}}) - \frac{1}{3}(2 -\frac{2}{3^{n-2}}) = \frac{1}{3}(8 - 2 + \frac{2}{3^{n-2}} - \frac{8}{3^{n-1}}) = \frac{1}{3}(6+\frac{6}{3^{n-1}}-\frac{8}{3^{n-1}})= 2 -\frac{2}{3^{n}}$. It follows then that $g(n+2) = \frac{4}{3}(2 -\frac{2}{3^{n+1}}) - \frac{1}{3}(2 -\frac{2}{3^n}) = \frac{1}{3}(8 - 2 + \frac{2}{3^n} - \frac{8}{3^{n+1}}) = \frac{1}{3}(6+\frac{6}{3^{n+1}}-\frac{8}{3^{n+1}})= 2 -\frac{2}{3^{n+2}}$. This, This shows that the arbitrary case and the inductive step hold. Finally, we can prove the base case and evaluate g(2) given the definition as $g(2) = \frac{4}{3}*\frac{4}{3}= \frac{16}{9} = \frac{18}{9} - \frac{2}{9} = 2 - \frac{2}{3^2}$. Thus,$g(n) = 2 - \frac{2}{3^n}$ for any natural number n.",1,2,0,0,2,2,2,Seth,sp22
30,31,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Proof:
gn = N>2",0,0,0,0,0,0,0,Seth,sp22
31,32,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"I will use proof by induction to prove that $g(n) = 2 - \frac{2}{3^{n}}$. We know that g(n-1) = 4/3g(n - 2) - 1/3g(n - 3) by the third given statement above. Moreover, we also know that g(n) = 4/3g(n - 1) - 1/3g(n - 2) because it is given to us. Ultimately, it can be assumed that g(n) = 2 - 2/3^n because the inductive pattern repeats as n increases.",0,0,0,0,0,0,0,Seth,sp22
32,33,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,?,0,0,0,0,0,0,0,Seth,sp22
33,34,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Base case: we take n = 2 and we get 16/9 from both equations. This proves the base case.

Let n = k + 1

We get 2 - 2/3^k+1 

Hence k + 1 is proved by induction.",1,2,0,0,0,0,0,Seth,sp22
34,35,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,,0,0,0,0,0,0,0,Seth,sp22
35,36,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"for n = 2:

g(n) = g(1) g(1) - 1/3 g(n-2)
g(n) = g(1) g(1) - 1/3 g(0)
g(n) = 16/3 - 1/3 (0)
g(n) = 16/3",0,0,0,0,0,0,0,Seth,sp22
36,37,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"The claim states that for all natural numbers n, (4/3)*g(n-1) - (1/3)g(n-2) = 2-(2/3^n). We will prove this claim using induction. is subtracted sufficiently to reach 4/3 and 0, the second term becomes meaningless as it is multiplied by 0, meaning that the first term reaches 2 - (2/3^n) for any natural number, which is what we needed to show.",0,0,0,0,0,0,0,Seth,sp22
37,38,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"g(n) = 4/3(g(n-1)) - 1/3(g(n-2)) for n is greater than or equal to 2.

g(n) = 2(1 - 3^(-n))

g(n) = 2 - 2/3^(n)
",0,0,0,0,0,0,0,Seth,sp22
38,39,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"When n = 0, g(n) = 2 - 2/3^n = 0,
When n = 1, g(n) = 2 - 2/3^n = 4/3,
When n >= 2, g(n) = 2 - 2/3^n = 4/3g(n-1) - 1/3(g(n-2)
Suppose n = 2, g(n) = 16/9 = 16/9 - 0, 
So we can prove that g(n) = 2-2/3^n for any natural number n.",0,0,0,0,0,0,0,Seth,sp22
39,40,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Let n be some arbitrary natural number and let g(n) = (4/3)g(n-1) - (1/3)g(n-2) for n >= 2. Also let g(0) = 0 and g(1) = 4/3.

So, let x = 2. Then, g(2) = (4/3)g(1) - (1/3)g(0) = (4/3)(4/3) - (1/3)(0) = 16/9.

Since 2 - 2/(3^n) = 16/9, then when g(0) = 0, g(1) = 4/3, and g(n) = (4/3)g(n-1) - (1/3)g(n-2) for n >= 2, g(n) = 2 - 2/(3^n), which is what we needed to prove.",0,0,0,0,0,0,0,Seth,sp22
40,41,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,g(n + 1) = (4g(n - 1)/3) - (g(n - 2)/3),0,0,0,0,0,0,0,Seth,sp22
41,42,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"1) Proof by induction
2) Base case: n = 0, 2 - 2/3^0 = 2 - 2 = 0. n = 1, 2 - 2/3^1 = 4/3. So both base cases are true.
3) Inductive Hypothesis: Let n be a natural number and g(n) = 2 - 2/3^n, where n = 1, 2, ..., k+1. 
3) We want to prove that g(k+2) = 2 - 2/3^(k+2).
4) g(k+2) = (4/3)g(k+1) - (1/3)g(k) = (4/3) (2-2/3^(k+1)) - (1/3) (2-2/3^k) = 8/3 - 8/3^(k+2) - 2/3 + 2/3^(k+1) = 6/3 - 8/3^(k+2) + 6/3^(k+2) = 2 - 2/3^(k+2), which is what we needed to prove.",2,2,2,2,2,2,2,Seth,sp22
42,43,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"Still don't know what induction is. </br> 
Proof: g(n) = 2 - 2/(3^n) for any n. 
Could possibly do something with finding the equations for g(n-1) and g(n-2) and plugging back in? Finding g(n-1) in terms of n?? Not sure. ",0,0,0,0,0,0,0,Seth,sp22
43,44,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Let $g(n)$ be defined as above.  
Let P(n) be the following statement: $\forall n \in \mathbb N, g(n)=2-\frac{2}{3^n}$  
Base case:  
$g(0) = 0$ and $2-\frac2 {3^0}=0$ so P(0) is true.  
$g(1) = \frac4 3$ and $2-\frac2 {3^1}=\frac 4 3$ so P(1) is true.  
Inductive hypothesis. Supposed that P(n) is true for $n=0,1...k-1$ for some $k \geq2$. We want to prove that P(k) is true, that is $g(k)=2-\frac{2}{3^k}$  
For P(k) to be true, we need to prove the following $g(k)=2-\frac2 {3^k}$  
Starting from the right we apply the definition of $g(n)$ to get the following:  
$g(k)=\frac4 3g(k-1)-\frac1 3g(k-2)$  
Since we assumed that P(n) is true for n=0,1...k-1, we use the fact that $P(k-1)$ and $P(k-2)$ is true.
$g(k)=\frac4 3g(k-1)-\frac1 3g(k-2)=\frac4 3(2-\frac2 {3^{k-1}})-\frac1 3(2-\frac2 {3^{k-2}})$  
$g(k)=\frac4 3(2-\frac2 {3^{k-1}})-\frac1 3(2-\frac2 {3^{k-2}})=\frac8 3-\frac8 {3^k}-\frac2 3 + \frac 2 {3^{k-1}} = \frac6 3-\frac8 {3^k}+\frac{2(3)}{3(3^{k-1})}=2-\frac8 {3^k}+\frac6 {3^k}$  
$g(k)=2-\frac2 {3^k}$  
This is what we needed to show, as P(k) is true given that P(0) and P(1) is true and P(n) is true for n=0,1...k-1 for some $k\geq2$.


",2,2,2,2,2,2,2,Seth,sp22
44,45,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Since g is defined as if natual number, then it is rational. This states that every natural number that n is, it is also a rational number. If we subtract $\frac{4}{3}$ from $\frac{1}{3}$ then we would get 3/3 which will equal one. Knowing that fact, we can infer that g(n) = g(n-1) - g(n-2). If we factor in the g we would get gn-g - gn - 2g. Since gn cancels out we get -g - 2g. This will equal -3g.",0,0,0,0,0,0,0,Seth,sp22
45,46,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Proof by induction. Base case 0 and 1 true. Base case 2 = 16/9. Solve for when n = a real number k. 4/3g(k-1)-1/3g(k-2). sub in 2-2/3^k 4/3 g(2-2/3^k - 1/3g(2-2/3^k -2). 4/3g(1-2/3^k) - 1/3g(-2/3^k). Therefore, for k natural number n, g(n) = 2 -2/3^n.  ",2,1,0,0,0,0,0,Seth,sp22
46,47,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,this statement is true. Putting  g(n) =  2 -  2/3^n in to g(n). g(n) = 4/3 * (2 - 2/ 3^n-1)_ - 1/3 (2- 2/ 3^n_-2) = 6/3 - 8/3^n  +2/ 3^n-1 = 2 - 8/3^n + 6 / 3^n = 2- 2/3^n.,0,0,0,0,0,0,0,Seth,sp22
47,48,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"g(1) = 3/4

g(n) = 4/3 (n-1) - 1/3(n-2)

g(n+1) =  4/3 (n) - 1/3(n-1)

I have no idea after that",0,0,0,0,0,0,0,Seth,sp22
48,49,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"base case: g(2) = 2-2/3^2 = (4/3)*(4/3) -0 = 16/9

prove by induction:

for g(n)> 2, g(n) = 2-2/3^n

",1,1,0,0,1,0,0,Seth,sp22
49,50,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"First, we have the base cases that hold true since g(0)=2-2/3^0=0 and g(1)=2-2/3 = 4/3. Assuming g(n)=2-2/3^n, I will show for the n+1 this holds true. At g(n+1), I get 4/3g(n)-1/3g(n-1) = 4/3(2-2/3^n) -1/3(2-2/3^n+1).",2,2,2,1,0,2,2,Seth,sp22
50,51,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"I know that I supposed to prove g(n + 1) = 2 - 2/(3^(n+1)), so that I can prove g(n) = 2 - 2/3^n. But I can't figure out how to prove it.",0,0,0,0,0,0,0,Seth,sp22
51,52,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Proof by induction. Base case: prove that $g(n) = 2 - \frac{2}{3^n}$, where n = 2. Since $g(2) = 4/3(4/3) - 1/3(0) = 16/9$ and $2 - \frac{2}{3^2} = 16/9$, the base case is true. Inductive premise: suppose $g(n) = 2 - \frac{2}{3^n}$, for $n >= 2$. Inductive hypothesis: if the inductive premise is true, then we need to prove k+1 is true. Inductive step: $g(k+1) = 2 - \frac{2}{3^{k+1}}$, for $n >= 2$. By the inductive premise, $g(k+1) = 4/3(g(k)) - 1/3(g(k-1)) = \frac{4}{3}(2 - \frac{2}{3^k}) - \frac{1}{3}(2 - \frac{2}{3^{k-1}})$. Simplifying this gives $\frac{2*3^{k+1} - 2}{3^{k+1}}$, which is equivalent to $2 - \frac{2}{3^{k+1}}$. Therefore, $g(k+1) = 2 - \frac{2}{3^{k+1}}$, which is what we need to prove.",1,2,2,1,2,2,2,Seth,sp22
52,53,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"g(n) = 4/3(4/3g(n-2) - 1/3g(n -3)) - 1/3(4/3g(n -3) +1/3(n - 4)), which is equals to (16/9g(n-2) - 8/9(n - 3) + 1/9(n - 4). With such expansion. The eventually outcome will be in a tree structure. And we wants to calculate the sum of each level. The g(n - x), x != 0 && x != n will be cancled. The eventually sum will converge to 2 - 2/3^n
",0,0,0,0,0,0,0,Seth,sp22
53,54,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Have to do 2 steps, then the hypothesis and inductive step. Have to see if the equation works with both n=0 and n=1, and n=n-1 or n=n+1.",2,0,0,0,0,0,0,Seth,sp22
54,55,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,"From the equation g(n) we can obtain that g(n) = g(n-2/3)

",0,0,0,0,0,0,0,Seth,sp22
55,56,Exam 1,learningStudy/WrittenInduction_Recurrence_v3,I don't know induction.,0,0,0,0,0,0,0,Seth,sp22
56,57,Exam 6,learningStudy/WrittenInduction_Recurrence_v3,"Base: For an nonnegative real number g. g(0) = 0 and g(1) = 4/3. 

Proof: g(n) = 2 - (2/3^n).

Induction: Given g(n) = (4/3)(g(n-1)) - (1/3)(g(n-2)) for any n >= 2, we can began by setting both equations equal to one another. When n = 2 for example, 2 - (2/3^2) = 16/9. Additionally, g(2) = (4/3)(g(2-1)) - (1/3)(g(2-2)) = 16/9. Therfore, these equations allow you to plug in values for any natural number n and get the same result for g(n) regardless of which equation is being used. 

This is what we needed to show.",2,1,2,1,0,0,0,Seth,sp22
