"","Assessment","Question","Proof","Identify.Base.Case","Prove.Base.Case","Hypothesis.is.stated","Hypothesis.is.given.some.bound","Goal.is.Clear","Expression.of.Size.k.1.is.decomposed.into.expression.of.size.k","Inductive.Hypothesis.is.applied","Graded.By"
"19","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","using n for induction

Base case: $n = 1$, $2(1) + 3(1) + 1 = 6$ and six is obviously a multiple of 3

Hypothesis: for $n=k$, $2k^3+3k^2+k$ is a multiple of 3

We need to prove $2(k+1)^3+3(k+1)^2+k+1$ is a multiple of 3

$2(k+1)(k^2+2k+1)+3k^2+6k+3+k+1$

$2(k^3+2k^2+k+k^2+2k+1)+3k^2+6k+3+k+1$

$2k^3+9k^2+13k+6$

$(2k^3+3k^2+k)+6k^2+12k+6$

$(2k^3+3k^2+k)+3(2k^2+4k+2)$

$(2k^3+3k^2+k)$ is a multiple of 3 by the hypothesis and $3(2k^2+4k+2)$ is a multiple of 3 because it is an integer times 3

Thus, the sum of two multiples of 3 is a multiple of 3 and we have proven what needed to prove.",2,1,2,2,2,2,2,"Seth"
"20","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","induction on n

for n =1, 2(1)+3(1)+1 = 6. 6 is divisible by 6 therefore base case is true.

assume for n = k, 2k^3 + 3k^2 + k is divisible by 6.
then we need to prove that the statement holds true for n = k+1.

2(k+1)^3 + 3(k+1)^2 + k

2k^3 + 6k^2 + 6k + 2 + 3k^2 + 3 + 6k + k = 2k^3 + 9k^2 + 13k + 5
which is divisible by 6",2,2,2,2,2,0,0,"Seth"
"21","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Base case: n=0.$2n^3+3n^2+n=0$. We know that 0 is divisible by 6.

Inductive hypothesis: Assume the claim works for all natural number n, prove that it works for n+1.

Inductive steps: $2(n+1)^3+3(n+1)^2+(n+1)=(n+1)(2n^2+7n+6)=2n^3+7n^2+6n+2n^2+7n+6$. Simplify the equation, we can get $2n^3+3n^2+n+6(n+1)^2$. Because the first half of the equation is divisible by 6, $(n+1)$ is some natural number, and that $6(n+1)^2$ is divisible by 6. Therefore, the whole equation is divisible by 6, and the proof is done.",2,2,2,1,2,2,2,"Seth"
"22","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","I'm not sure",0,0,0,0,0,0,0,"Seth"
"23","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","For our base case, when n = 1, 2n^3 + 3n^2 + n = 6 and 6 is divisible by 6      
Suppose as our inductive hypothesis that for some k, 2n^3 + 3n^2 + n is divisible by 6 for each n in 0.....k-1       
Show that 2n^k - 3n^k + k is divisible by 6",2,2,2,2,1,0,0,"Seth"
"24","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","base: for any natural number n, 2(n-1)^3+3(n-1)^2+n-1 is divisible by 6.

proof: (n-1)(2(n-1)^2+3(n-1)+1)

",0,0,0,0,0,0,0,"Seth"
"25","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","For any natural number $n$, $2n^3 + 3n^2 + n$ is divisible by 6

For our base case, note that when $n=0$, $2n^3 + 3n^2 + n$ is 0 which is divisible by 6.

Suppose as our Inductive Hypothesis that for some $k$ , $2n^3 + 3n^2 + n$ is divisible by 6 for each $n$ in $0 ... k$.

We need to show that $2k^3 + 3k^2 + k$.

$2k^3 + 3k^2 + k$ factors out to be $k(k+1)(2k+1)$.

If $k$ is an even number, then $(k+1)$ is an odd number and vice versa. Therefore $k(k+1)(2k+1)$ can be divided by trwo, and because there are three integers, $k(k+1)(2k+1)$ can be divided by 6.",2,2,2,2,1,0,0,"Seth"
"26","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","For our base case note that when $n=0$, $2n^3+3n^2+n=0$ which is divisible by 6.

Suppose as our Inductive Hypothesis that $2n^3+3n^2+n$ is divisible by 6 for $n$ in $0...k$ (where $k>=0$).

Now we need to show that $2k^3+3k^2+k$ is divisible by 6.
",2,2,2,2,1,0,0,"Seth"
"27","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Proof by induction on n

Base case: f(0) = 0 which is divisbile by 6 and f(1) = 6 which is divisible by 6",2,2,0,0,0,0,0,"Seth"
"28","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","base case : n = 0, 2*0 + 3*0 + 0 = 0, which is divisible by 6

inductional hypothesis: $2n^3 + 3n^2 + n$ is divisible by 6 for n = 0,1...k

we need to prove that $2(k+1)^3 + 3(k+1)^2 + k$ is divisible by 6

$2(k+1)^3 + 3(k+1)^2 + k + 1 = 2(k^3+3k^2+3k+1)+3(k^2+2k+1)+k+1$

$= 2k^3+3k^2+k+6k^2+12k+6$

inductional step: from inductional hypothesis we know that $2k^3 + 3k^2 + k$ is divisible by 6, $6k^2+12k+6 = 6(k+1)^2$ is divisible by 6, so $2(k+1)^3 + 3(k+1)^2 + k$ is divisible by 6, which is what we needed to show",2,2,2,2,2,2,2,"Seth"
"29","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","suppose n is a natual  number and 2n^3 + 3n^2 + n is divisible by 6. By law of divides, this means 6m = 2n^3 +3n^2 +n for some int m. since n is natural it is 0 or a positive integer, so the lowest case would be 0, which is divisible by 6. Starting at 1, the result is 6, which is divisible by 6. Moving forwards, the following results all increase positively and are all divisible by 6.",2,2,0,0,0,0,0,"Seth"
"30","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Prove base cases  
$n=0$: $2*0^3+3*0^2+0=0$, where $6|0$  
$n=1$: $2*1^3+3*1^2+1=6$, where $6|6$  
$n=2$: $2*2^3+3*2^2+2=16+12+2=30$, where $6|30$",2,2,0,0,0,0,0,"Seth"
"31","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","For our base case, consider n = 1. Then 2n^3+3n^2+n = 6, which is divisible by 6. 

Now for our induction hypothesis consider some natural number k such that 2n^3+3n^2+n is divisible by 6 for all n in 0...k.

So, we need to show that 2(k+1)^3+3(k+1)^2+k+1 is divisible by 6. We can rewrite that as (2k^3+3k^+k)+6(k^2+2k+1). By the induction hypothesis we know that the first term is divisible by 6, and we can see that the second term is divisible by 6 as well, so the whole thing is divisible by 6, which is what we needed to show.",2,2,2,2,2,2,2,"Seth"
"32","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Base case: $n=0$, $2(0)^{3} + 3(0)^{2} + 0 = 0$, and 0 is divisible by 6

Show that for any natural number m in $0...k$, $2(m)^{3} + 3(m)^{2} + m$ is divisible by 6

Rewriting using the definition of mod, we get $0 = n(2n^{2}+3n+1) + 6c$ where c is some integer

Simplifying further we get $-6c/n=2n^{2}+3n+1$, and because $-kc/n$ is some integer, then that shows $6$ is divisible by $n$, and thus $2n^{3} + 3n^{2} + n$ is divisible by 6.",2,2,1,2,0,0,0,"Seth"
"33","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","For n = 1, the claim holds.
For n = 2, the claim holds.
For n = 3, the claim holds.

Therefore, the claim holds.",2,1,0,0,0,0,0,"Seth"
"34","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Suppose n is any natural number. THe indcative claim is that 2n^3 + 3n^2 +n is divisible by 6. The indicative hypothesis is that 2n^3 is divisible by 6. Since 2n^3 is divisble by 6 anything else you add is also divisible by 6 so the claim that 2n^3 + 3n^2 + n is divisible by 6 is true. ",0,0,0,0,0,0,0,"Seth"
"35","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","For our base case, note that when n = 0, 2n^3 + 3n^2 + n = 0 is divisible by 6

Next, suppose as our Inductive Hypothesis that for some k, 2n^3 + 3n^2 + n is divisble by 6 for each n from 0....k

Now to finish we neeed to show that 2k^3 + 3k^2 + k is divisble by 6

substituing k, k + 1, we know that both are divisble by 6

and then (k + 1) - k, we know that k = 1, is divisble by 6

therefore, by defintion of induction, we can say 2k^3 + 3k^2 + k, is divisble by 6 for all natural values of k, which is what we needed to prove",2,2,2,2,1,0,0,"Seth"
"36","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","For our base case, we need to prove $2{n}^{3} + 3{n}^{2} + n$ is divisible by $6$ when $n = 0$

$n=0$ means $2({0}^{3}) + 3({0}^{2}) + 0 = 0$. Because $0$ is divisible by $6$, $P(0)$ is valid.

Suppose the induction hypothesis is $2{n}^{3} + 3{n}^{2} + n$ is divisible by $6$ when $n = 1,2,3...k$ when $k \geq 0$

We need to prove that $2{(k+1)}^{3} + 3{(k+1)}^{2} + (k+1)$ is divisible by $6$. Simplifying gives $2{k}^{3} + 3{k}^{2} + k + 6{k}^{2} + 6k+6$. By the induction hypothesis, $2{k}^{3} + 3{k}^{2} + k$ is divisible by $6$. $6{k}^{2} + 6k+6$ is divisible by $6$ because each term has a coefficient divisible by $6$. Combining these together shows that $2{(k+1)}^{3} + 3{(k+1)}^{2} + (k+1)$ is divisible by $6$, which is what we needed to show. 

",2,2,2,2,2,2,2,"Seth"
"37","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Let's use strong induction to prove the following claim. Suppose we have a natural number n. Let's take a look at 2n^3 + 3n^2 + n for example. This can be factored to n(2n + 1)(n+1). 

Let's plug k into this equation. This gives us k(2k+1)*(k+1). If k is odd, k+1 will always result in an even number proving that it is divisible by 2. Now if we look at k and 2k+1, we know at least one of these terms will be divisible by 3. Now let's look at if k is even, then we know that the outer k product will be divisible by 2 and know that either 2k+1 or k+1 will be divisible by 3, which means that the entire expression will be divisible by 6.

Now let's look at the example of k+1. This gives us k+1(2k+2)(k+2). Using the same logic as above, we know taht 2k+2 will always be even because we are multiplying any natural number k by 2, and are adding an even number which will yield a an even number. Additionally, we know for a fact that either k+1, k+2, or 2k+2 will give us a multiple of 3, meaning that the entire expression is divisible by 6.

This is what we needed to prove.",0,0,0,0,0,0,0,"Seth"
"38","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","base case $n=0$  

$f(n) = 2(0)^3+3(0)^2 + 0 = 0$ which is divisible by 6 so the base case holds true

inductive hypothesis  $2(n)^3+3(n)^2 + n$ is divisible by $ 6$ for n in 0,1,2...k

for the rest of the inductive step, we have to prove that  $2(k+1)^3+3(k+1)^2 + k$ is divisible by $ 6$
$2(k+1)^3+3(k+1)^2 + k $

$= 2k^3 + 2 + 6k^2 +6k + 3k^2 + 3 + 6k + k + 1$

=$(2(k)^3+3(k)^2 + k ) + 6(k^2 + 2k +1)$
using the inductive hypothesis and the fact that $(k^2 + 2k +1)$ is an integer, we can conclude that the claim holds true ",2,2,2,2,2,2,2,"Seth"
"39","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","proof by induction on n

I will prove the inductive hypothesis that for any natural number n, 2n^3 + 3*n*n + n is dividible by 6

base case n = 0: 2(0)^3 + 3(0)^2 + 0 = 0 which is divisible by 6.

We can substitute k into the equation for all natural values of k in n

2k^3 + 3*k^2 + k = k(2k^2 + 3k + 1)= k(k+1)(2k+1)

for all natural numbers from 0 to k in this equation which is split up into three parts, k(k+1)(2k+1) each k will result in a 2 and a 3 being multiplied together or a factor among them.

Thus this equation is divisible by 6 for all natural numbers k QED",2,2,0,0,0,0,0,"Seth"
"40","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","2n^3 + 3n^2 + n | 6 or n(2n^2 + 3n + 1) = 6k where k is some natural number. Base case where n = 1 we have 2+ 3 +1 = 6k which is true so using induction we have 2(n+1)^3 + 3(n+1)^2 + (n+1) = 6k where n = 1. which gives us 2(8) + 3(4) + 2 = 6k or 30 = 6k which is true so for any natural number n, 2n^3 + 3n^2 + n is | 6",2,2,0,0,0,0,0,"Seth"
"41","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Let n be a natural number

For the base case, note that when n - 0, 2n^3 + 3n^2 + n = 0, and 0 is divisible by any number so it must be divisible by 6.

Predicate: 2n^3 + 3n^2 + n = n(2n^2 + 2n + 1) 

Induction Hypothesis: ",2,2,0,0,0,0,0,"Seth"
"42","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Proof by induction on n.

P(n) = For any natural number n, $2n^3 + 3n^2 + n$ is divisible by 6.

Base Case: For n = 0, the expression above is equal to 0, which is divisible by 6.

Inductive hypothesis: Suppose that $2k^3 + 3k^2 + k$ is true for all natural numbers 0...k.

Inductive step: We need to show that $2n^3 + 3n^2 + n$ is true for n = k + 1.

$2(k + 1)^3 + 3(k + 1)^2 + k = 2(k^3 + 3k^2 + 3k + 1) + 3(k^2 + 2k + 1) + k$

$ = 2k^3 + 6k^2 + 6k + 2 + 3k^2 + 6k + 3 + k$

$ = 2k^3 + 9k^2 + 13k + 5$
",2,2,2,2,2,0,0,"Seth"
"43","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","base case: when n = 0 : 
       2(0^3) + 3(0^2) + 0 = 0 which is divisible by 6
            
Inductive hypothesis: 2n^3 + 3n^2 +n is divisible by 6 for all n values from 0...k
We must prove that 2n^3 + 3n^2 +n is divisible by 6  for n = k + 1 so
    2(k+1)^3 + 3(k+1)^2 + k + 1
    (2k+2)(k^2 + 2k + 1) + 3k^2 + 7k+ 2
    2k^3 + 2k^2 + 2k^2 + 2k + 4k + 2 + 3k^2 + 7k + 2
    2k^3 + 7k^2 + 13k + 4
      *insert math of how these are equivalent by factoring*",2,2,2,2,2,0,0,"Seth"
"44","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Base case: when n = 1, 2n^3 + 3n^2 + n = 6 
2n^3 + 3n + n is divisible by 6 for n = 2,3,...,k
2n^3 + 3n^2 + n = n(2n^2 + 3n + 1) = n(2n+1)(n+1)
",2,2,2,2,0,0,0,"Seth"
"45","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","no idea",0,0,0,0,0,0,0,"Seth"
"46","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","our base case is  whne n = 0. 2(0)^3 + 3(0)^2 + 0 = 0, which is divisible by 6

Our inductive hypothesis is 2n^3 + 3n^2 +n is divisble by 6 for all k, 0 ... k

we need to prove 2k^3 + 3k^2 + k is divisble by 6

2k^3 + 3k^2 + k factors to k(2k + 1)(k +1)",2,2,2,1,1,0,0,"Seth"
"47","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Base case: given an natural number k, 2k^3 + 3k^2 + k is divisible by 6

hypothesis 2(k+1)^3 + (3(k+1)^2) + k+1 for all natural numbers k is divisible by 6
2(k^2 + 2k + 1) (k + 1) + (3k^2 + 6k + 3) + k + 1 for all natural numbers.

2(k^3 + 2k^2 + k + k^2 + 2k + 1) + (3k^2 + 6k + 3) + k + 1 = 2k^3 + 8k^2 + 9k + 4 is divisible by 6
thus this proves what we are trying to prove that ofr any natural number k, 2k^3 + 3k^2 + k is divisible by 6",0,0,2,1,1,0,0,"Seth"
"48","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","As our base case we have $n = 0$ so $2(0)^3 + 3(0)^2 + 0 = 0 \mid 6$

For some natural number $k$, suppose that $2n^3+3n^2+n \mid 6$ for ever $n$ from $0..k$

We need to prove that $2(k+1)^3+3(k+1)^2+(k+1) \mid 6$

$2k^3+6k^2+6k+2+3k^2+6k+3+k+1$

From our hypothesis we know that

$2k^3+3k^2+k \mid 6$

So we are left with

$6k^2+12k+6$
which is divisible by $6$ because everything inside the equation is divisible by 6",2,2,2,2,2,2,2,"Seth"
"49","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Base case: when n = 0, 2*0^3 + 3*0^2 + 0 = 0, which is divisible by 6.  
Inductive hypothesis: for some k, 2n^3 + 3n^2 + n is divisible by 6 for each n in 1, 2, 3,..,k.  
2(k+1)^3 + 3(k+1)^2 + k + 1 = 2k^3 + 6k^2 + 6k + 2 + 3k^2 + 6k + 3 + k + 1 = 2k^3 + 9k^2 + 13k + 6.
According to the hypothesis, 2k^3 + 3k^2 + k is divisible by 6.  
Since the multiple of 6 minus another multiple of 6, the result can also be divided by 6. (6m - 6n = 6(m - n) where m and n are integers and m >= n)   
Then, 2k^3 + 9k^2 + 13k + 6 - 2k^3 - 3k^2 - k = 6k^2 + 12k + 6 = 6(k^2 + 2k + 1), which is divisible by 6.    
Therefore, 2(k+1)^3 + 3(k+1)^2 + k + 1 = 6(k^2 + 2k + 1), which is divisible by 6 and what we need to prove.",2,2,2,2,2,1,0,"Seth"
"50","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Prove by induction on $n$.

Inductive Predicate: For any natural number $n$, $P(n)=2n^3+3n^2+n$ is divisible by $6$.

Base Case: When $n=0$, $P(0)=2(0)^3+3(0)^2+(0)=0$, and $0$ is clearly divisible by $6$, so $P(0)$ is true.

Inductive Hypothesis: Suppose $2n^3+3n^2+n$ is divisible by $6$ for $n$ in $0...k-1$ where $k\ge1$.

Inductive Step: We need to prove $P(k)=2k^3+3k^2+k$ is divisible by $6.$

Factoring $2k^3+3k^2+k$ gives us $n(2n+1)(n+1)$.

Because $n$ or $(2n+1)$ or $(n+1)$ must be divisible by $2$ and $n$ or $(2n+1)$ or $(n+1)$ must be divisible by $3$, $n(2n+1)(n+1)$ is divisible by $(2)(3)=6$.

So $2k^3+3k^2+k$ is divisible by $6$, which is what we needed to show.",2,2,2,2,2,0,0,"Seth"
"51","Exam 4","learningStudy/WrittenInduction_Divisibilty_v4","Base case: When n = 1, $2n^3+3n^2+n = 6$, which is divisible by 6, true.  
Inductive Hypothesis: $2n^3+3n^2+n$ is divisible by 6 for n in 0, ..., k.  
Inductive Step: Prove $2(k+1)^3+3(k+1)^2+k+1$ is divisible by 6.  
$2(k+1)^3+3(k+1)^2+k+1 = 2k^3+9k^2+13k+6 = 2k^3+3k^2+k+6(k^2+2k+1)$. $6(k^2+2k+1)$ is clearly divisible by 6, and given to our hypothesis, $2k^3+3k^2+k$ is also divisible by 6, so the predicate is proven.",2,2,2,2,2,2,2,"Seth"
