"","Assessment","Question","Proof","Identify.Base.Case","Prove.Base.Case","Hypothesis.is.stated","Hypothesis.is.given.some.bound","Goal.is.Clear","Expression.of.Size.k.1.is.decomposed.into.expression.of.size.k","Inductive.Hypothesis.is.applied","Graded.By"
"11","Exam 4","learningStudy/WrittenInduction_Sum_v3","Base: When n is 0, $\sum_{0}^{0}$(p*p!)=0; right side is(0+1)!-1=0;
Inductive hypothesis: $\sum_{0}^{p}$(p*p!)=(n+1)!-1 for n = 0,1,2,3,4...k-1 (for k >= 0);
Inductive step: $\sum_{0}^{k}$(k*k!)=(k+1)!-1 for k >= 0;",2,2,2,2,2,0,0,"Yael"
"12","Exam 4","learningStudy/WrittenInduction_Sum_v3","Assume true for base case of n = 1:
$\sum_{p=0}^{n}(p*p!) = (1 + 1)! - 1$  
$1=1$

Assume eq is true for some value k, and all values from 0 to k - 1.  
Test if eq is true for k + 1:  
$\sum_{p=0}^{k+1}(p*p!) = (k+1 + 1)! - 1$  
$\((k+1)! - 1)+(k+1)(k+1)! = (k+2)! - 1$  
$\(k+1)!+(k+1)(k+1)! = (k+2)!$  
$\(k+1)!(1 + k + 1) = (k+2)!$   
$ (k+2)!= (k+2)!$ 

Thu by the inductive step the eq is true for all natural numbers $n$",2,2,2,2,2,2,2,"Yael"
"13","Exam 4","learningStudy/WrittenInduction_Sum_v3","We apply induction on n.

Base case: when n = 0. Both sides of equation is equal to 0.

Induction hypothesis: some some k, $\sum_{k=0}^{n}$ (k*k!) = (n+1)! - 1 for all natural number n in 0 to k.

induction step: prove that $\sum_{k=0}^{n}$ (k*k!) = (n+1)! - 1 for all natural number n.",2,1,2,2,1,0,0,"Yael"
"14","Exam 4","learningStudy/WrittenInduction_Sum_v3","when n = -1 

$\sum_{p = 0}^{n}$(p*p!) = 0 * 1 = 0

(n + 1)! -1 = 0! -1 = 0

",0,0,0,0,0,0,0,"yael"
"15","Exam 4","learningStudy/WrittenInduction_Sum_v3","Proof by induction on n

$P(n): \sum_{p=0}^{n}(p*!p)=(n+1)!-1$

Inductive Hypothesis: Suppose $P(n)$ is true for $n$ in $0...k$ ($k \geq 0$) 

Base case: When $n=0$:

$\sum_{p=0}^{0}(p*p!)=(0+1)!-1$

$0*0! = 0 = 1-1$

Now we need to show that the hypothesis holds for $P(k+1)$



",2,2,2,2,2,0,0,"yael"
"16","Exam 4","learningStudy/WrittenInduction_Sum_v3","The claim states that for n in N, $\sum_{p=0}^{n}(p*p!) = (n+1)! - 1$.

For our base case, we say that $\sum_{p=0}^{0}(p*p!) = (0+1)! - 1$. The former is 0 * 0! = 0. amd the latter is 1! - 1 = 0, making this true when n = 0.

Next, suppose as our Inductive Hypothesis that $\sum_{p=0}^{k}(p*p!) = (k+1)! - 1$ when n = 0, 1...k.

Now to finish we need to show that $\sum_{p=0}^{k+1}(p*p!) = (k+2)! - 1$

The left hand side can be simplified into $\sum_{p=0}^{k}(p*p!)$ + (k+1)((k+1)!) = $\sum_{p=0}^{k}(p*p!)$ + (k+1)^2*(k!).
The right hand side can be simplified into (k+1)!(k+2) - 1 = (k+1)! - 1

Thus, our equation  to prove is $\sum_{p=0}^{k}(p*p!)$ + (k+1)^2*(k!) = k+2 - 1/(k+1).

Knowing our inductive hypothesis, subtracting equal elements leaves us with (k+1)^2*(k!) = (k+2) + 1/(k+1)",2,2,2,2,2,2,1,"yael"
"17","Exam 4","learningStudy/WrittenInduction_Sum_v3","idk.",0,0,0,0,0,0,0,"yael"
"18","Exam 4","learningStudy/WrittenInduction_Sum_v3","Base Case: 0! = 1

Inductive Hypothesis:

Inductive Step:

QED",0,0,0,0,0,0,0,"yael"
"19","Exam 4","learningStudy/WrittenInduction_Sum_v3","Proof by induction on n.

Inductive Predicate: $\sum_{p=0}^{n}$ $(p*p!)=(n+1)!-1$ for all natural numbers n.

Best Case: P(0) = $\sum_{p=0}^{n}$ $(p*p!) = 0$ and $(n+1)!-1 = 0$.

Inductive Hypothesis: For some k, $\sum_{p=0}^{n}$ $(p*p!) = (n+1)!-1$ when n is 0 . . . k.

Inductive Step: We need to prove that $\sum_{p=0}^{k+1}$ $(p*p!) = ((k+1)+1)!-1$.

By some algebra, $((p + 1))* (p+1)!) = ((k+1)+1)!-1$

. . . 

$\sum_{p=0}^{n}$ $(p*p!)=(n+1)!-1$ for all natural numbers n.",2,2,2,2,2,0,0,"yael"
"20","Exam 4","learningStudy/WrittenInduction_Sum_v3","Taking the base case , n = 0 we get $\sum_{p=0}^{0}$(p.p!) = 0.0! = 0*1 = 0 and (0+1)!-1=1-1=0. Thus the claim is true for base case.

Let the claim be true for all integers n in (0,1,2...k-1),. So,

$\sum_{p=0}^{k-1}(p.p!) = k!-1. 

The goal is to rove that it is true for k also. 

We can say that $\sum_{p=0}^{k}$ f(k) - $\sum_{p=0}^{k-1}$ f(k-1) = f(k) where f(p) = (p.p!).

((k+1)! - 1) - (k! - 1) = (k+1)! - k! = k!(k+1-1) = k.k! = f(k).  
Hence the claim is true for k, which is what we needed to show.",2,2,2,2,2,2,1,"yael"
"21","Exam 4","learningStudy/WrittenInduction_Sum_v3","for our base case let us note that when n = 0, $\sum_{p=0}^{n}$ (p* p!) = 0 and (1)! - 1 = 0

next suppose suppose as our inductive hypothesis that for some k, $\sum_{p=0}^{n}$ (p* p!) = (n+1)! - 1 for each n in 0...k

now to finish we need to show that $\sum_{p=0}^{k}$ (p*p!) = (k+1)! - 1",2,2,2,2,0,0,0,"yael"
"22","Exam 4","learningStudy/WrittenInduction_Sum_v3","Suppose n = 0:

Then, $\sum_{p=0}^{0}(p * p!$) = 0

(1)! - 1 = 0

Suppose n = 1:

Then, $\sum_{p=0}^{1}(p * p!$) = (0 * 0)! + (1 * 1)! = 1

(2)! - 1 = 1

For n = 0, n = 1, $\sum_{p=0}^{n}(p * p!$) = (n + 1)! - 1

For all n,  $\sum_{p=0}^{n}(p * p!$) = (n + 1)! - 1",0,0,0,0,0,0,0,"yael"
"23","Exam 4","learningStudy/WrittenInduction_Sum_v3","I don't really remember how to do this other than what I have written below...
We will prove this claim using induction. The claim is that $\sum_{p=0}^{n}$(p * p!) =(n + 1)! - 1. for all natural numbers n.

The base case for this is if n = 0. If n = 0,  $\sum_{p=0}^{n}$(p * p!) = 0 and (n + 1)! - 1 = 0. Thus the base case is proven

Inductive hypothesis: Let k = any natural number. Then, $\sum_{p=0}^{k}$(p * p!) = (k + 1)! - 1 = 0. 

Inductive step: $\sum_{p=0}^{k + 1}$(p * p!) = ((k + 1) + 1)! - 1 = 0. ",2,2,2,2,2,0,0,"yael"
"24","Exam 4","learningStudy/WrittenInduction_Sum_v3","n = 0:  $\sum_{p=0}^{0}$ (0*0!) = 1!-1 = 0;

let n = k,  $\sum_{p=0}^{k}$ (p*p!) = (k+1)!-1 be true:

let n = k+1;  $\sum_{p=0}^{k+1}$ (p*p!) = $\sum_{p=0}^{k}$ (p*p!) + k*(k+1)!+(k+1)! = (k+1)!-1 + k*(k+1)!+(k+1)! = (k+1)!*(k+2)-1 = (k+2)!-1;

if n=k is true, n=k+1 has to be true, so the claim is true.",2,2,2,2,2,2,2,"yael"
"25","Exam 4","learningStudy/WrittenInduction_Sum_v3","Proof by induction on $n$.

Base Case: If $n=0$, $\sum_{p=0}^0(p\times{p!})=0$, and $(0+1)!-1=0$, so $P(0)$ is true.

Inductive Hypothesis: $\sum_{p=0}^n(p\times{p!})=(n+1)!-1$ for $n$ in $0...k$, for $k\ge0$.

Inductive Step: We need to prove that $\sum_{p=0}^{k+1}(p\times{p!})=(k+2)!-1$.",2,2,2,2,2,0,0,"yael"
"26","Exam 4","learningStudy/WrittenInduction_Sum_v3","For our base case note that at k=0, $\sum_{p=0}^{0}(p*p!)$ = 0 and $(n+1)!-1 = 0$. Thus, for our inductive hypothesis k+1, the first equation is equal to 1 $(1*1!)$ and the second equation is equal to 1 as well $(2! - 1)$. Thus, we needed to show that $\sum_{p=0}^{n}(p*p!) = (n+1)!-1$, which it does so the claim is true.",2,1,0,0,0,0,0,"yael"
"27","Exam 4","learningStudy/WrittenInduction_Sum_v3","Proof by Induction on n

For our base case, note that when n=0 $\sum_{p=0}^{n=0}$(p*p!) = 0 and (0+1)!-1 = 0 

Suppose as our Inductive Hypothesis that $\sum_{p=0}^{n}$(p*p!)=(n+1)!-1 for n in 0...k+1 k$\geq$0

Now to finish we need to show that $\sum_{p=0}^{k+1}$(p*p!)=(k+2)!-1

",2,2,2,2,2,0,0,"yael"
"28","Exam 4","learningStudy/WrittenInduction_Sum_v3","for(n=0), the $\sum_{n}{p=0}p*p!=0, and (n+1)!-1=0, so it is true. Suppose that  $\sum_{n}{p=0}p*p!=(n+1)!-1, for all natural number n, n is 0~~~k. So $\sum_{k}{p=0}k*k!.",2,2,2,2,0,0,0,"yael"
"29","Exam 4","learningStudy/WrittenInduction_Sum_v3","let p and n be arbirtary real number
since p * p! is the base, and it starts at 0, and 0! = 1, the entire thing should be (something)! + 1
thus you need to subtract 1 from it.",0,0,0,0,0,0,0,"yael"
"30","Exam 4","learningStudy/WrittenInduction_Sum_v3","When $n = 1, \sum_{p=0}^{0}(p*p!) =1$ and $(0+1)!-1 = 1! - 1 = 1 - 1  = 0$ meaning that $\sum_{p=0}^{0}(p*p!) = (0+1)!-1$.  
  
  For some $k, \sum_{p=0}^{n}(p*p!) = (1+1)!-1$ for each $k$ in $0, 1, 2, ..., k.$
    
Now we need to show that $\sum_{p=0}^{k+1}(p*p!) =(k+2)!-1$.

... Not sure what's next.
",2,2,2,2,2,0,0,"yael"
"31","Exam 4","learningStudy/WrittenInduction_Sum_v3","Prove by induction.
Base case: g(0): LHS=0=RHS, so it is true for n = 0.  
Consider it is true for n = k, and prove it is true for n = k + 1.  
Then p(k) = $\sum_{p=0}^{k}$ (p*p!) = (k + 1)! - 1 is true.   
Consider n = k + 1
Then p(k+1) = $\sum_{p=0}^{k}$ (p*p!) = (k + 1 + 1)! - 1",2,1,2,2,2,0,0,"yael"
"32","Exam 4","learningStudy/WrittenInduction_Sum_v3","We will use proof by induction.

Suppose there are natural numbers n where $\sum_{p=0}^{n}$(p*p!) = (n+1)!-1.

Base Case: When p=0, then n will equal 1, and 1 is a natural number which work.

Induction Hypothesis: For some value k, $\sum_{p=0}^{n}$(p*p!) = (n+1)!-1 for any natural number n in 0...k.

Induction Step: Consider $\sum_{p=0}^{n}$(p*p!) = (k+1)!-1 and $\sum_{p=0}^{n}$(p*p!) = ((k+1)+1)!-1.

Induction Result:

$\sum_{p=0}^{n}$(p*p!) = (n+1)!-1 for all natural numbers n. Which is what we need to prove.",2,2,2,2,2,0,0,"yael"
"33","Exam 4","learningStudy/WrittenInduction_Sum_v3","Let n be a natural number.

Base Case

Inductive Hypothesis

Inductive Step

Thus, $\sum_{n}{p=0}(p * p!) = (n + 1)! - 1$, QED",0,0,0,0,0,0,0,"yael"
"34","Exam 4","learningStudy/WrittenInduction_Sum_v3","$\sum_{p = 0}^{n}$ $(p*p!) = (n+1)! - 1$",0,0,0,0,0,0,0,"yael"
"35","Exam 4","learningStudy/WrittenInduction_Sum_v3","Starting with the base case which is p = 0, which we can plug in and get (0+1)! - 1 which is equal to 0 which is a natural number.

No using the inductive hypothesis we can changet the statement to $\sum_{p = 1}^{n}$ (p * p!)

Which can be further simplified to 1 - $\sum_{p = 0}^{n}$ (p * p!) which can be further simplified to (n+1)! - 1 which is the claim that we wanted to prove in the first place.
",2,2,0,0,0,0,0,"yael"
"36","Exam 4","learningStudy/WrittenInduction_Sum_v3","For our base case n = 0,  $\sum_{0}^{p=0}$$(p*p!)=0$ and $(0+1!) -1 = 0 $

Next suppose our inductive hypothesis  $\sum_{p=0}^{n}$$(p*p!)=$ $(n+1)! -1$ for  $n$ in $0...k$ where $n>=0$. 

Now we need to show that $\sum_{p=0}^{n}$$(p*p!)=$$(k+1)! -1$",2,2,2,2,0,0,0,"yael"
"37","Exam 4","learningStudy/WrittenInduction_Sum_v3","Proof by induction n.

For our base case, note that for n = 0, $\sum_{p=0}^{n}(p*p!) = 0 = (n+1)!-1$.

Now suppose our Inductive Hypothesis is that for some k,  $\sum_{p=0}^{n}(p*p!) =  (n+1)!-1$ for each natural number n in 0....k .

We must show that  $\sum_{p=0}^{k+1}((k+1)*(k+1)!) = (k+2)!-1$.

$\sum_{p=0}^{k+1}((k+1)*(k+1)!)= (k+1)^2(k!)  $.


Therefore since $\sum_{p=0}^{k+1}((k+1)*(k+1)!) = (k+2)!-1$ the claim is true.",2,2,2,2,1,0,0,"yael"
"38","Exam 4","learningStudy/WrittenInduction_Sum_v3","Proof by induction  
Base case: n = 0, $\sum_{p=0}^{0}$ (p * p!) = 0 and (0 + 1)! - 1 = 0.  
Inductive hypothesis: $\sum_{p=0}^{n}$ (p * p!) = (n + 1)! - 1 for all n in 0,...,k  
Inductive step: we need to prove $\sum_{p=0}^{k+1}$ (p * p!) = (k + 2)! - 1  
((k+1)*(k+1)(k)) = (k+2)(k+1)(k) - 1  
This is true, which is what we needed to show. QED",2,2,2,2,2,0,0,"yael"
"39","Exam 4","learningStudy/WrittenInduction_Sum_v3","Suppose predicate $P(n)$ holds when $\sum_{p=0}^{n}(p*p!) = (n+1)!-1$ for all natural numbers $n$.<br>
Base case: when $n = 0$, $\sum_{p=0}^{n}(p*p!) = 0*1 = 0$, and $(0 + 1)! - 1=1-1=0$, so $P(0)$ hodls.<br>
Inductive hypothesis: $P(n)$ holds for some $n$ that $n = 0, 1, 2,...,k - 1$ (where $k-1 >= 0$).<br>
Inductive step: we need to prove that $\sum_{p=0}^{k}(p*p!)=(k+1)!-1$ .<br>
$P(k) = \sum_{p=0}^{k}(p*p!) = \sum_{p=0}^{k - 1}(p*p!) + (k*k!)$.<br>
from the Inductive hypothesis we know that $\sum_{p=0}^{k - 1}(p*p!)=k! -1$, <br>
after substitution we get that $\sum_{p=0}^{k}(p*p!)  = k!-1+(k*k!) = (k+1)k!-1=(k+1)!-1$, which is what we needed to prove.",2,2,2,2,2,2,2,"yael"
"40","Exam 4","learningStudy/WrittenInduction_Sum_v3","Proof by induction on n.    
Inductive prediction: $\sum_{p=0}^{n}(p\times p!)=(n+1)!-1$     
Base case: when $p= n = 0, 0\times 0!=0, and \space (0+1)!-1 = 0, thus\space P(0)\space holds$      
Inductive hypothesis: $\sum_{p=0}^{n}(p\times p!)=(n+1)!-1$ is true for all n in 0...k  
Inductive steps: then we need to prove that $\sum_{p=0}^{n}(p\times p!)=(n+1)!-1$ is also true for k+1  
By inductive hypothesis, $\sum_{p=0}^{k}(p\times p!)=(k+1)!-1$  
then $\sum_{p=0}^{k+1}(p\times p!)=\sum_{p=0}^{k}(p\times p!) + (k+1)\times (k+1)!$     
which means $\sum_{p=0}^{k+1}(p\times p!)=(k+1)!-1 + (k+1)\times (k+1)!$    
thus, $\sum_{p=0}^{k+1}(p\times p!)=(k+1)!\times (k+1+1)-1$     $=(k+2)!-1$     
which is what we need to prove.
",2,2,2,2,2,2,2,"yael"
"41","Exam 4","learningStudy/WrittenInduction_Sum_v3","Unsure",0,0,0,0,0,0,0,"yael"
"42","Exam 4","learningStudy/WrittenInduction_Sum_v3","for the base case, when n = 0 $\sum_{0}^{0}$ (0 * 0!) = (0 + 1) ! - 1 = 0

next, suppose the hypothesis that for some k,  $\sum_{0}^{n}$ (n * n!) = (n + 1) ! - 1 in k = 0, 1......k

we need to prove that $\sum_{0}^{k}$ (k * k!) = (k + 1) ! - 1 

since (k + 1) ! - 1 = k * k! + k !- 1, $\sum_{0}^{k}$ (k * k!) = (k * k!) +  $\sum_{0}^{k-1}$ ((k - 1) * (k - 1)!)

when we both eliminate  k* k! from both sides, we get k! =$\sum_{0}^{k-1}$ ((k - 1) * (k - 1)!)

continue this step we can eventually eventually prove that both sides are always equal as it finally reach the base case.",2,2,2,2,1,1,1,"yael"
"43","Exam 4","learningStudy/WrittenInduction_Sum_v3","let p = 0, then (p * p!) = 0

let n = 0, then (n + 1)! - 1 = 0

so we can asumme that $\sum_{p=0}^{n}$ (p * p!) = (n + 1)! - 1 for n = 0, 1, 2, 3.... k - 1

(k - 1 + 1)! - 1 = k! - 1",0,0,0,0,0,0,0,"yael"
"44","Exam 4","learningStudy/WrittenInduction_Sum_v3","For our base case, f(n) = $\sum_{p = 0}^{n} (p*p!) = (0 + 1)! - 1 = 0.$

Next, for our hypothesis, assume that $\sum_{p=0}^{n} (p*p!)$ where n > 0.

Therefore, for our inductive step, $\sum_{k > 0}^{n} (n+1)! - 1$

...

Therefore, $\sum_{p = 0}^{n}(p*p!) = (n + 1)! - 1$",2,1,2,0,1,0,0,"yael"
"45","Exam 4","learningStudy/WrittenInduction_Sum_v3","Proof: by induction on n

Base: Let n = 0. Then $\sum_{p=0}^{0}$(p * p!) = 0 an (0+1)! - 1 = 0. 

Induction: Suppose $\sum_{p=0}^{n}$(p * p!) = (n+1)! - 1 for all n = 0, ..., k -1. 

Then we must prove that $\sum_{p=0}^{k}$(p * p!) = (k+1)! - 1

...

Thus, $\sum_{p=0}^{n}$(p * p!) = (n+1)! - 1 for all natural numbers n. ",2,2,2,2,2,0,0,"yael"
"46","Exam 4","learningStudy/WrittenInduction_Sum_v3","Proof: Proof by induction n

Base Case (For all natural numbers n): For n = 0  $\sum_{p=0}^{n}$ (P*P!) = 0 = 1-1 which is also 0, proving  the claim to be true for the base case, n = 1, $\sum_{p=0}^{n}$ (P*P!) = 1 = 2! - 1, which is true. For n = 2, $\sum_{p=0}^{n}$ (P*P!) = 5 = 3! - 1, which is also true so for these two cases of numbers n = 1 and n = 2, we can prove the base cases.

Induction Hypothesis: For some positive number k,  $\sum_{p=0}^{n}$ (P*P!) = (n+1)! - 1, for all numbers n  1,2,3...k

Induction Step: $\sum_{p=0}^{k+1}$ (P*P!) = (k+1+1)! - 1

Prove: When evaluating the induction step number by number, we can see that the results of the k+1 equation is equal to the right most (k+1+1)! - 1, proving that for all natural numbers n, the original statement stands. We can plug back n in for the final statement.

Conclusion: $\sum_{p=0}^{n}$ (P*P!) = (n+1)! - 1 for all natural numbers n",2,1,2,2,2,0,0,"yael"
"47","Exam 4","learningStudy/WrittenInduction_Sum_v3","Prove by induction on $n$.

$P(n): \sum_{p = 0}^{n} (p \times p!) = (n+1)! - 1$ for all natural number $n$.

Base case: when $n = 0$, $\sum_{p = 0}^{n} (p \times p!) = 0$, $(n+1)! - 1 = 0$, which is equal.

Suppose $p(n)$ is true for $n = 1, 2, ..., k-1$.

We need to prove $p(n)$ is true for $n = k$.

$p(k)$: $\sum_{p = 0}^{k} (p \times p!) = (k+1)! - 1$

Left side is equal to: $\sum_{p = 0}^{k-1} (p \times p!) + (k\times k!)$.

Right side is equal to: $(k+1)k! -1$

Substituting using the hypothesis, we get:

Left side is equal to $k! - 1 + (k\times k!) = (k+1)!-1$.

Right side is equal to $(k+1)! -1$.

So the left is equal to right, $p(k)$ is true.

Q.E.D.
",2,2,2,2,2,2,2,"yael"
"48","Exam 4","learningStudy/WrittenInduction_Sum_v3","Hypothesis: $\sum_{p=0}^{n}$ (p*p!) = (n+1)!-1 is true for 0, 1, 2 , ... , k for some integers k.
Base case n = 0, $\sum_{p=0}^{0}$ = 0  (0+1)!-1 = 0 base case is right",2,2,2,2,0,0,0,"yael"
"49","Exam 4","learningStudy/WrittenInduction_Sum_v3","Base Case:
Let $n=0$. Then, $\sum_{p=0}^{0}(pp!) = (0 * 0 !) =  0 = (1)! - 1 = 0$. Since both sides hold true, the base case is indeed shown to be true.

Inductive hypothesis: Suppose for all $n: 0, ..., k \in \mathbb{N}$, $\sum_{p=0}^{k} (pp!)= (k+1)! -1$. 

Inductive step: We must prove that $\sum_{p=0}^{k + 1} (pp!)= (k+2)! -1$.

Separating the summation, we get that $\sum_{p=0}^{k + 1} (pp!) = \sum_{p=0}^{k} (pp!) + (k+1)(k+1)!$. Substituting the inductive hypothesis gives that $\sum_{p=0}^{k + 1} (pp!) = (k+1)! -1 + (k+1)(k+1)!$. Factoring out $(k+1)!$ gives $(k+1)! -1 + (k+1)(k+1)! = (k+1)!(k+1+1) - 1 = (k+1)!(k+2) - 1$. Combining the factorial with the number one greater, it can be shown that $\sum_{p=0}^{k + 1} (pp!) = (k+2)! -1$, which is what was to be shown.",2,2,2,2,2,2,2,"yael"
"50","Exam 4","learningStudy/WrittenInduction_Sum_v3","(0 x 0!) = (0+1)! - 1 = 0",0,0,0,0,0,0,0,"yael"
"51","Exam 4","learningStudy/WrittenInduction_Sum_v3","$\sum_{p=0}^{n}(p*p!)=(n+1)!-1$


 For our base case, when n=0. $\sum_{p=0}^{0}(p*p!)=(0+1)!-1$=0.
 when n=1. $\sum_{p=0}^{1}(p*p!)=(1+1)!-1$=1.
  Next, suppose as our Inductive Hypothesis that for some k, $\sum_{p=0}^{n}(p*p!)=(n+1)!-1$ for n in 0...k
  
  
 ",2,2,2,2,0,0,0,"yael"
"52","Exam 4","learningStudy/WrittenInduction_Sum_v3","For our base case, note that when n = 1, $\sum_{p=0}^{n}$ (p*p!) = 0 and (n+1)! - 1 = 0 for all natural numbers n.

Next, suppose as our Inductive Hypothesis that 
for some k, 
$\sum_{p=0}^{n}$ (p*p!) = (n+1)! - 1 is true for each n in 0...k.

Now to finish we need to show that $\sum_{p=0}^{k}$ (p*p!) = (k+1)! - 1.

Let us assume k = 1, then $\sum_{p=0}^{k}$ (p*p!) = 0 and (k+1)! - 1 = 0.

Thus proven",2,1,2,2,1,0,0,"yael"
"53","Exam 4","learningStudy/WrittenInduction_Sum_v3","We will use proof by induction.

Inductive Predicate: $\sum_{p=0}^{n}$ = (n + 1)! - 1, for all natural numbers n.

Base Case: Note that when n = 1, $\sum_{p=0}^{n}$ = (1 + 1) - 1 = 2.

Inductive Hypothesis: For some k, $\sum_{p=0}^{n}$ (n + 1)! - 1 for each n . . . k.

Inductive Step: For some k, $\sum_{p=0}^{n + 1}$ (n + 2)! - 1 for each n . . . k - 1.",2,1,2,2,1,0,0,"yael"
"54","Exam 4","learningStudy/WrittenInduction_Sum_v3","$\sum_{n}^{p = 0}$ (p * p!) = $\sum_{n}^{p = 0}$ (p * p* (p - 1) * (p - 2) * p....

$\sum_{n}^{p = 0}$ (p + 1)! - 1 = $\sum_{n}^{p = 0}$ (n + 1)! - 1",0,0,0,0,0,0,0,"yael"
"55","Exam 4","learningStudy/WrittenInduction_Sum_v3","base case 0 = 0, base case holds

need to prove $\sum_{p=0}^{n+1}(p*p!)=(n+2)!-1$

$\sum_{p=0}^{n}(p*p!)$*$((n+1)*(n+1)!$=$((n+1)!-1)((n+1)(n+1)!)$",0,0,0,0,0,0,0,"yael"
